Full Name,Fighter_Id,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Tom Aaron,93fe7332d16c6ad9,No Nickname,,155.0,,Orthodox,5,3,0,False
Danny Abbadi,15df64c02b6b0fde,The Assassin,5.11,155.0,,Orthodox,4,6,0,False
Nariman Abbasov,59a9d6dac61c2540,Bayraktar,5.8,155.0,66.0,Orthodox,28,4,0,False
Darion Abbey,4961467134abd8be,No Nickname,6.2,265.0,80.0,Orthodox,9,5,0,False
David Abbott,b361180739bed4b0,Tank,6.0,265.0,,Switch,10,15,0,False
Hamdy Abdelwahab,3329d692aea4dc28,The Hammer,6.2,265.0,72.0,Southpaw,7,1,0,False
Mansur Abdul-Malik,841695e02c99a521,No Nickname,6.2,185.0,80.0,Orthodox,9,0,1,False
Shamil Abdurakhimov,2f5cbecbbe18bac4,Abrek,6.3,235.0,76.0,Orthodox,20,8,0,False
Hiroyuki Abe,c0ed7b208197e8de,Abe Ani,5.6,145.0,,Orthodox,8,15,3,False
Daichi Abe,5140122c3eecd307,No Nickname,5.11,170.0,71.0,Orthodox,6,2,0,False
Papy Abedi,c9f6385af6df66d7,Makambo,5.11,185.0,,Southpaw,10,4,0,False
Ricardo Abreu,aa6e591c2a2cdecd,Demente,5.11,185.0,,Orthodox,5,1,0,False
Klidson Abreu,7279654c7674cd24,White Bear,6.0,205.0,74.0,Orthodox,15,4,0,False
Cyborg Abreu,f689bd7bbd14b392,No Nickname,,,,Orthodox,0,0,0,False
Daniel Acacio,1c5879330d42255f,No Nickname,5.8,180.0,,Orthodox,30,18,0,False
John Adajar,989b85f6540c86b1,The Outlaw,5.9,170.0,75.0,Orthodox,6,2,0,False
Scott Adams,2620f3eb21c79614,No Nickname,6.0,225.0,,Southpaw,8,1,0,False
Juan Adams,83b00f7597e5ac83,The Kraken,6.5,265.0,80.0,Orthodox,5,3,0,False
Anthony Adams,a77633a989013265,Sugafoot,6.1,185.0,76.0,Orthodox,8,2,0,False
Zarrukh Adashev,79cb2a690b9ba5e8,The Lion,5.5,125.0,65.0,Southpaw,4,4,0,False
Israel Adesanya,1338e2c7480bdf9e,The Last Stylebender,6.4,185.0,80.0,Switch,24,5,0,False
Sam Adkins,0e9869d712e81f8f,The Experience,6.3,225.0,,Orthodox,7,20,2,False
Mohamed Ado,7a846fcbf182a7c8,No Nickname,5.11,170.0,76.0,Switch,5,1,0,False
Nick Agallar,ebc5af72ad5a28cb,No Nickname,5.8,155.0,,Orthodox,24,6,0,False
Mariya Agapova,a08ddd04eaffd81d,Money Mashka,5.6,125.0,68.0,Southpaw,10,5,0,False
Kantharaj Agasa,26f4288e83188c61,Kannadiga,,135.0,,Orthodox,12,3,0,False
Marcelo Aguiar,44aa652b181bcf68,No Nickname,5.1,170.0,,Orthodox,2,3,1,False
Fabio Aguiar,501821d7fb7b95c1,No Nickname,6.0,185.0,,Orthodox,17,1,0,False
Edwin Aguilar,6cadc0a0ba7dc015,Tigre,5.1,185.0,,Orthodox,26,19,0,False
Jessica Aguilar,8f382b3baa954d2a,Jag,5.3,115.0,63.0,Orthodox,20,8,0,False
Kevin Aguilar,cf946e03ba2e7666,Angel of Death,5.7,155.0,73.0,Orthodox,17,5,0,False
Jesus Aguilar,c051c2e12d692b8a,No Nickname,5.4,125.0,62.0,Orthodox,12,3,0,False
Christian Aguilera,ae071698e1a3ccd4,The Beast,5.9,170.0,72.0,Switch,14,8,0,False
Nick Aguirre,0978385b2bd9ef9b,Slick,5.9,135.0,74.0,Southpaw,7,2,0,False
 Agulali,b2efa582adf73604,No Nickname,5.9,125.0,67.0,Switch,13,2,0,False
Ahejiang Ailinuer,ff584c17bccbae0b,No Nickname,,145.0,,Orthodox,15,3,0,False
Mike Aina,9e3dbb9c68ed5d1a,Iron,5.9,155.0,,Orthodox,14,6,1,False
Ashiek Ajim,49dea784f6cfed71,Peak Physique,5.8,135.0,71.0,Switch,6,2,0,False
Hitomi Akano,2eada40ac8801559,Girlfight Monster,5.4,135.0,,Southpaw,18,10,0,False
Omari Akhmedov,16690d100f995f8f,Wolverine,6.0,185.0,73.0,Orthodox,21,6,1,False
Yoshihiro Akiyama,b0550072e5f0afa7,No Nickname,5.1,170.0,75.0,Orthodox,14,6,0,False
Rostem Akman,1fc64507a0cb38cf,No Nickname,5.1,170.0,72.0,Switch,6,2,0,False
Razak Al-Hassan,38b50fd1e1b5b656,No Nickname,6.2,205.0,,Orthodox,13,5,0,False
Abdul-Kareem Al-Selwady,597499ac7a5aac62,Pride of Palestine,5.8,155.0,69.0,Orthodox,15,4,0,False
Mostapha Al-Turk,1cf1310684a841f5,No Nickname,6.2,245.0,77.0,Orthodox,6,6,0,False
Herdem Alacabek,7578cc6bd750206b,No Nickname,6.2,205.0,75.0,Orthodox,5,1,0,False
Javi Alanis,2144954270be834d,No Nickname,5.6,135.0,,Orthodox,0,4,0,False
 Alatengheili,1897b7b913736a7c,The Mongolian Knight,5.5,135.0,66.0,Orthodox,17,10,2,False
Amir Albazi,6d35bf94f7d30241,The Prince,5.5,125.0,68.0,Orthodox,17,2,0,False
Brett Albee,9b28292abe3166d5,No Nickname,,225.0,,Orthodox,3,2,0,False
John Albert,7bd94b60d7521e4a,Prince,5.8,135.0,68.0,Orthodox,6,5,0,False
Junior Albini,c482c8605455a213,Baby,6.3,264.0,74.0,Orthodox,14,6,0,False
Wes Albritton,184b955181bdef52,No Nickname,5.1,188.0,,Orthodox,0,1,0,False
Aleksandra Albu,e76d9f656ceb82ab,Stitch,5.2,115.0,63.0,Orthodox,3,2,0,False
Israel Albuquerque,dd1b90eea08887f6,No Nickname,,185.0,,Orthodox,0,3,0,False
Juan Alcain,39f62b833e4cf126,No Nickname,,,,Orthodox,1,2,0,False
Iuri Alcantara,2f95a3c6d58b2aad,Marajo,5.9,135.0,71.0,Southpaw,35,10,0,False
Ildemar Alcantara,7c6e87729e824ef4,Marajo,6.2,185.0,78.0,Orthodox,21,11,0,False
Alfonso Alcarez,1e38bba6738b7b10,No Nickname,5.3,145.0,,Orthodox,1,3,1,False
Gilbert Aldana,d26934530dc5b248,El Peligro,6.1,250.0,,Orthodox,6,2,0,False
Irene Aldana,578ef12674df1e6a,No Nickname,5.9,135.0,68.0,Orthodox,15,8,0,False
Hector Aldana,c487223b0289bda9,No Nickname,5.11,170.0,72.0,Orthodox,4,3,0,False
