date,year,fighter_1,fighter_2,bet_on,model_prob,market_prob,edge,stake,odds,won,pnl,bankroll
2011-03-19,2011,Mauricio Rua,Jon Jones,Jon Jones,0.8027805442187205,0.6681590729523308,0.13462147126638968,30.0,1.4651162790697674,True,13.953488372093021,1013.953488372093
2011-07-02,2011,Carlos Condit,Dong Hyun Kim,Dong Hyun Kim,0.6650275481259718,0.513948077676165,0.15107947044980674,30.42,1.900900900900901,False,-30.42,983.5334883720931
2011-08-14,2011,Ed Herman,Kyle Noke,Kyle Noke,0.7153711876037396,0.5581289044644218,0.15724228313931787,29.51,1.7575757575757576,False,-29.51,954.0234883720931
2012-01-14,2012,Gabriel Gonzaga,Ednaldo Oliveira,Gabriel Gonzaga,0.7058045157259836,0.5729537366548043,0.13285077907117926,28.62,1.7142857142857144,True,20.442857142857147,974.4663455149503
2012-05-15,2012,Amir Sadollah,Jorge Lopez,Amir Sadollah,0.6325417515020503,0.5,0.13254175150205028,29.23,1.9523809523809523,True,27.83809523809524,1002.3044407530455
2012-06-08,2012,Demetrious Johnson,Ian McCall,Demetrious Johnson,0.6514882479663705,0.5116279069767442,0.1398603409896263,30.07,1.9090909090909087,True,27.336363636363625,1029.6408043894091
2012-07-11,2012,Damacio Page,Alex Caceres,Alex Caceres,0.6810230042412424,0.5338983050847458,0.14712469915649662,30.89,1.8333333333333333,True,25.741666666666664,1055.3824710560757
2012-07-21,2012,Cheick Kongo,Shawn Jordan,Cheick Kongo,0.7129659264678588,0.5443037974683544,0.1686621289995044,31.66,1.8,True,25.328000000000003,1080.7104710560757
2012-11-17,2012,Cyrille Diabate,Chad Griggs,Cyrille Diabate,0.6990030855866578,0.5443037974683544,0.15469928811830336,32.42,1.8,True,25.936000000000003,1106.6464710560756
2013-04-20,2013,Francis Carmont,Lorenz Larkin,Francis Carmont,0.666019448829459,0.5116279069767442,0.15439154185271475,33.2,1.9090909090909087,True,30.181818181818173,1136.8282892378938
2013-05-18,2013,Vitor Belfort,Luke Rockhold,Vitor Belfort,0.6403411445843084,0.5,0.14034114458430835,34.1,1.9523809523809523,True,32.476190476190474,1169.3044797140842
