date,fighter_1,fighter_2,bet_on,model_prob,market_prob,edge,stake,odds,won,pnl,bankroll
2023-01-21,Ismael Bonfim,Terrance McKinney,Terrance McKinney,0.7203500091042707,0.5,0.22035000910427072,50.0,1.9090909090909087,False,-50.0,950.0
2023-02-11,Josh Culibao,Melsik Baghdasaryan,Melsik Baghdasaryan,0.6274233897166055,0.5,0.1274233897166055,47.5,1.9090909090909087,False,-47.5,902.5
2023-02-25,Jordan Leavitt,Victor Martinez,Jordan Leavitt,0.6577367645177978,0.4891657638136511,0.1685710007041467,45.12,1.9523809523809523,True,42.97142857142857,945.4714285714285
2023-05-06,Aljamain Sterling,Henry Cejudo,Aljamain Sterling,0.6783900968838382,0.5217391304347827,0.15665096644905552,47.27,1.8333333333333333,True,39.391666666666666,984.8630952380952
2023-07-01,Damir Ismagulov,Grant Dawson,Grant Dawson,0.6151693258978487,0.484603202533873,0.13056612336397566,49.24,1.9803921568627447,True,48.27450980392155,1033.1376050420167
2023-08-19,Kurt Holobaugh,Austin Hubbard,Austin Hubbard,0.7267026124200178,0.6037569709421778,0.12294564147783993,51.66,1.5882352941176472,False,-51.66,981.4776050420168
2023-08-26,Anthony Smith,Ryan Spann,Ryan Spann,0.6483861699731113,0.5427435387673957,0.1056426312057156,46.94,1.7692307692307692,False,-46.94,934.5376050420168
2023-11-11,Diego Lopes,Pat Sabatini,Pat Sabatini,0.6752229350679013,0.5427435387673957,0.13247939630050565,46.73,1.7692307692307692,False,-46.73,887.8076050420168
2023-11-11,Jiri Prochazka,Alex Pereira,Alex Pereira,0.6521072240426379,0.5203045685279188,0.13180265551471904,44.39,1.8,True,35.512,923.3196050420167
2023-12-02,Sean Brady,Kelvin Gastelum,Sean Brady,0.6122445189070662,0.5108342361863489,0.10141028272071728,38.39,1.869565217391304,True,33.38260869565216,956.7022137376689
2024-01-20,Sean Strickland,Dricus Du Plessis,Dricus Du Plessis,0.6348300981946455,0.5043297540699689,0.1305003441246766,47.84,1.8928571428571428,True,42.714285714285715,999.4164994519546
2024-02-24,Jesus Aguilar,Mateus Mendonca,Mateus Mendonca,0.6912994903132267,0.551441114716549,0.1398583755966777,49.97,1.7407407407407407,False,-49.97,949.4464994519545
2024-03-16,Tai Tuivasa,Marcin Tybura,Marcin Tybura,0.6392574138569368,0.4826358742837299,0.1566215395732069,47.47,1.9803921568627447,True,46.53921568627449,995.985715138229
2024-03-23,Kurt Holobaugh,Trey Ogden,Trey Ogden,0.6789629993388524,0.5324675324675325,0.14649546687131987,49.8,1.8,True,39.84,1035.825715138229
2024-03-30,Dennis Buzukja,Connor Matthews,Connor Matthews,0.6108022551061791,0.4826358742837299,0.12816638082244924,51.79,1.9803921568627447,False,-51.79,984.0357151382291
2024-09-14,Irene Aldana,Norma Dumont,Norma Dumont,0.6751406383958882,0.5427435387673957,0.13239709962849255,49.2,1.7692307692307692,True,37.84615384615385,1021.8818689843829
2024-09-28,Ion Cutelaba,Ivan Erslan,Ion Cutelaba,0.6056210979604658,0.4826358742837299,0.12298522367673592,51.09,1.9803921568627447,True,50.08823529411763,1071.9701042785005
2024-10-05,Austin Hubbard,Alexander Hernandez,Alexander Hernandez,0.6380383556288218,0.4956702459300312,0.14236810969879066,53.6,1.925925925925926,True,49.62962962962964,1121.59973390813
2024-10-05,Jose Aldo,Mario Bautista,Mario Bautista,0.6890660884034909,0.5260865852617197,0.16297950314177123,56.08,1.819672131147541,True,45.967213114754095,1167.566947022884
2024-12-07,Chris Weidman,Eryk Anders,Eryk Anders,0.6071592493866667,0.4956702459300312,0.11148900345663548,53.38,1.925925925925926,True,49.42592592592593,1216.99287294881
